1stFlrSF,GarageArea,GarageYrBlt,GrLivArea,LotArea,OverallQual,TotalBsmtSF,YearBuilt,SalePrice,TotalBsmtSF_binary,GarageArea_binary,OpenPorchSF_binary
2515,484,1975,2515,32668,6,2035,1957,200624,1,1,0
958,240,1941,1578,9490,6,806,1941,133000,1,1,0
979,352,1950,1203,7015,5,709,1950,110000,1,1,0
1156,505,1977,2022,10005,7,1160,1977,192000,1,1,1
525,264,1971,1092,1680,6,525,1971,88000,1,1,0
1022,280,1956,1022,7200,5,1022,1910,85000,1,1,1
1464,754,2007,1464,15256,8,1485,2007,282922,1,1,1
780,544,1979,1375,9000,6,780,1937,141000,1,1,1
2411,813,1996,4476,15623,10,2396,1996,745000,1,1,1
551,480,2004,1102,5105,7,551,2004,148800,1,1,1
1352,466,2006,1352,4230,7,1352,2006,208900,1,1,1
1680,528,1976,1680,11500,5,1680,1976,136905,1,1,0
1005,490,1999,1983,10762,7,978,1999,225000,1,1,0
900,288,1967,900,7838,5,864,1967,123000,1,1,1
1082,240,1948,1082,11664,6,1082,1948,119200,1,1,1
1314,294,1957,1314,8400,5,1314,1957,145000,1,1,0
1061,564,1992,1923,10186,7,750,1992,190000,1,1,1
990,0,0,990,8070,4,990,1994,123600,1,0,0
1228,271,1966,1228,8544,5,1228,1966,149350,1,1,1
916,164,1915,1826,2500,7,910,1915,155000,1,1,0
910,720,2000,1385,8520,5,910,1952,166000,1,1,0
848,420,2004,848,4438,6,848,2004,144500,1,1,0
816,516,1963,816,8472,5,816,1963,110000,1,1,0
702,343,1994,1481,8125,6,702,1994,174000,1,1,1
943,540,1974,1876,9120,6,901,1974,185000,1,1,1
916,424,1925,1742,17671,8,916,1882,168000,1,1,1
769,440,2000,1573,2117,6,756,2000,177500,1,1,1
630,0,0,630,1936,4,630,1970,84500,1,0,0
1698,768,2007,1698,13286,9,1698,2007,320000,1,1,1
832,336,1947,1216,8480,5,832,1947,118500,1,1,0
1776,888,1968,1776,11475,5,1584,1958,110000,1,1,1
1006,425,1993,1775,9317,7,740,1993,213000,1,1,1
912,470,1978,912,7540,6,888,1978,156000,1,1,0
1145,836,2000,2198,14260,8,1145,2000,250000,1,1,1
2046,834,2008,2046,11844,8,2046,2008,372500,1,1,1
729,406,1996,1446,21872,7,729,1996,175000,1,1,1
1561,556,2005,1561,7313,9,1561,2005,277500,1,1,1
882,461,1980,882,7700,5,882,1972,112500,1,1,0
912,615,2003,2094,9375,7,912,2003,263000,1,1,1
1500,712,1994,2622,12256,8,1463,1994,325000,1,1,1
2158,576,1950,2158,12615,6,1202,1950,243000,1,1,1
1360,572,1962,1360,7134,5,384,1955,130000,1,1,1
1310,400,2005,1310,8767,7,1310,2005,164990,1,1,0
1836,862,2004,1836,11362,8,1836,2004,280000,1,1,1
1490,810,1995,2794,15138,8,1462,1995,403000,1,1,1
1728,352,2002,1728,10624,5,1728,1964,119000,1,1,0
825,720,1963,825,8235,5,825,1955,125000,1,1,1
894,308,1976,894,10650,5,894,1976,128200,1,1,0
918,440,1978,1683,11184,6,918,1978,172500,1,1,0
930,308,1946,930,11100,4,0,1946,84900,0,1,0
1572,726,2003,2668,13688,9,1572,2003,412500,1,1,0
1073,515,1965,1073,10289,5,1073,1965,156000,1,1,0
1334,630,1977,1334,9650,6,1350,1977,167900,1,1,1
788,0,0,788,7446,4,788,1941,100000,1,0,0
1644,569,1989,1644,12800,7,1518,1989,275000,1,1,0
872,480,1974,872,8294,4,858,1971,123000,1,1,0
768,360,1910,1432,9600,5,264,1910,132000,1,1,0
901,800,2005,1801,10463,8,893,2005,239900,1,1,1
1121,480,1963,1121,8816,5,1121,1963,139000,1,1,1
789,250,1948,789,6000,5,789,1948,115000,1,1,0
1054,480,1963,1054,8800,6,936,1963,137500,1,1,0
1048,286,1956,1048,10152,5,1048,1956,135000,1,1,1
1236,447,1957,1236,10011,5,1070,1957,134450,1,1,0
1152,484,1964,1152,14112,5,1152,1964,180500,1,1,0
1679,575,1994,1679,8125,6,1408,1994,193500,1,1,1
1478,442,1957,1478,8400,6,1478,1957,156500,1,1,0
928,252,1956,928,13300,5,928,1956,132000,1,1,0
846,650,2009,1692,13159,7,846,2009,224500,1,1,1
661,552,1985,1250,5362,5,661,1910,139000,1,1,0
847,433,2003,1733,12394,7,847,2003,225000,1,1,1
716,432,2004,1432,7795,7,716,2004,188500,1,1,1
1077,205,1939,1077,7420,5,991,1939,118000,1,1,1
944,528,1956,944,10206,3,0,1952,82000,0,1,0
1419,567,2007,1419,8089,8,1419,2007,392000,1,1,0
960,288,1956,960,8926,4,672,1956,112000,1,1,0
1646,870,2007,1646,10656,8,1638,2006,248900,1,1,1
999,300,1962,999,10205,5,925,1962,134500,1,1,1
779,308,1988,935,9100,5,742,1930,79500,1,1,0
1392,576,2006,2462,19378,7,1392,2005,320000,1,1,1
1302,309,1964,1302,9350,6,1302,1964,158000,1,1,0
936,672,1980,936,7200,5,936,1980,140000,1,1,0
864,336,1978,864,7000,5,864,1978,136500,1,1,0
820,0,0,1347,7000,5,1117,1910,107500,1,0,0
990,672,1996,990,9245,5,990,1994,145000,1,1,0
1636,0,0,3086,18030,5,1598,1946,200500,1,0,0
1337,531,2003,1337,8450,7,1337,2003,185000,1,1,1
694,936,1998,1214,10410,3,672,1915,105000,1,1,0
1368,474,2005,1368,6792,7,1368,2005,202665,1,1,1
1212,460,2009,1212,10420,6,1212,2009,186000,1,1,1
1080,288,1958,1080,9464,6,1080,1958,136000,1,1,0
804,523,1998,1682,8750,6,804,1998,200500,1,1,1
790,566,1976,1574,18800,6,796,1976,190000,1,1,1
691,409,1995,1498,13031,6,691,1995,187500,1,1,1
920,492,2002,1861,13450,7,916,2002,200000,1,1,1
1258,648,2007,1258,3922,7,1258,2006,172500,1,1,1
1253,352,1960,1253,10920,6,1253,1960,157000,1,1,1
1484,606,2004,1484,8400,7,1473,2004,213000,1,1,1
1163,396,1955,1674,21780,6,1163,1918,185000,1,1,1
864,463,1994,864,8120,4,864,1970,124500,1,1,0
1128,360,1930,1573,6240,5,1078,1930,162900,1,1,0
1734,660,2005,1734,11645,7,1734,2005,260000,1,1,1
495,672,2003,1922,7301,7,0,2003,198500,0,1,0
1340,252,1957,1340,9060,5,0,1957,120000,0,1,0
698,440,1977,1426,7950,6,690,1977,159500,1,1,0
720,484,2005,720,8520,6,624,1928,105900,1,1,0
1301,462,1991,2417,16059,8,1288,1991,260000,1,1,1
796,480,1993,1362,14115,5,796,1993,143000,1,1,1
951,327,1936,951,8765,4,951,1936,106500,1,1,1
783,393,2005,1484,10237,6,783,2005,178900,1,1,1
773,0,0,1355,6882,6,684,1914,127000,1,0,0
694,352,1990,694,4280,5,440,1913,90350,1,1,0
1029,261,1961,1029,7943,4,1029,1961,118500,1,1,0
1097,495,1971,1993,14803,6,825,1971,190000,1,1,1
793,410,1939,1118,7800,5,793,1939,119900,1,1,0
713,506,1999,1452,3735,7,691,1999,183900,1,1,1
804,440,1976,1548,2308,6,804,1976,155000,1,1,0
2392,968,2003,2392,13472,10,2392,2003,386250,1,1,1
1040,308,1963,1040,7500,5,1040,1963,133000,1,1,0
1182,509,1968,2142,13000,6,896,1968,193500,1,1,1
1088,1025,2006,1959,9000,8,1088,2006,270000,1,1,1
1080,0,0,1080,7500,7,1080,2004,141000,1,0,0
703,540,2007,1392,3604,7,689,2007,146000,1,1,1
988,572,1963,988,9945,5,988,1961,128500,1,1,0
1098,486,1968,1978,9900,7,832,1968,176000,1,1,1
1588,472,1999,1588,10264,7,1588,1999,214000,1,1,1
1478,484,2009,1478,4403,7,1470,2009,222000,1,1,1
2121,732,2007,2121,14450,9,2121,2006,415298,1,1,1
1301,572,2006,1301,7200,7,1293,2006,187750,1,1,1
1241,569,2007,1241,4274,7,1241,2006,199900,1,1,1
1523,478,1976,1523,11361,6,1193,1976,180000,1,1,0
1344,784,1997,1344,7060,7,1344,1997,206300,1,1,0
1240,826,2006,1240,8556,7,1240,2006,194000,1,1,1
1120,528,1979,2240,7018,5,0,1979,142953,0,1,0
1440,467,1981,1440,12546,6,1440,1981,182900,1,1,0
864,280,1972,864,9353,4,864,1970,116050,1,1,0
1680,583,1998,1680,10140,7,1650,1998,213250,1,1,1
944,240,1940,1489,9900,6,778,1940,139500,1,1,0
1349,539,2000,1349,8450,7,1349,2000,179000,1,1,1
901,281,1954,901,6000,4,901,1954,107900,1,1,0
810,484,1992,1603,7153,6,761,1992,175900,1,1,1
1152,300,1950,1152,14000,6,1092,1950,158500,1,1,1
1072,525,2005,1072,3675,5,547,2005,145000,1,1,1
2259,450,1953,2259,21000,6,1809,1953,217000,1,1,1
1040,484,1977,1040,8800,5,1040,1977,150500,1,1,0
1258,400,1969,1258,12900,4,1198,1969,108959,1,1,0
697,420,1993,1501,7685,6,697,1993,165600,1,1,1
1466,610,2007,1466,8925,8,1466,2007,201000,1,1,1
1053,312,1959,1053,10007,5,1053,1959,145500,1,1,0
1752,576,2005,1752,7658,9,1752,2005,319900,1,1,1
1494,514,1998,1494,16196,7,1482,1998,215000,1,1,1
1425,576,1964,1425,10175,6,1425,1964,180500,1,1,0
1702,1052,2008,1702,8769,9,1702,2008,367294,1,1,1
1800,702,2007,1800,11923,9,1800,2007,239000,1,1,1
1272,0,0,2200,8777,5,1272,1900,145900,1,0,1
833,228,1925,1666,5100,8,588,1925,161000,1,1,1
1392,564,1978,2784,16692,7,1392,1978,250000,1,1,1
1131,672,1995,1131,5925,4,907,1937,89471,1,1,1
792,400,1931,1517,11435,8,792,1929,230000,1,1,0
1120,0,0,1120,8402,5,1120,2007,147000,1,0,1
812,392,1992,1482,9125,7,384,1992,163900,1,1,1
864,576,1989,864,10500,4,864,1971,97000,1,1,0
1188,531,1959,1188,12160,5,1188,1959,142000,1,1,0
778,614,2006,1576,8125,7,770,2006,197000,1,1,1
960,576,1970,960,9873,4,960,1970,129000,1,1,1
1574,824,2006,1574,11957,8,1574,2006,232000,1,1,1
997,0,0,1517,8500,5,793,1919,115000,1,0,0
1464,480,1997,1464,12886,5,520,1963,175000,1,1,0
1277,889,1996,2344,10208,7,1264,1996,265000,1,1,0
1358,484,2004,1358,8198,7,1358,2004,207000,1,1,1
948,463,2000,1690,8063,6,924,2000,181000,1,1,1
1382,884,1991,1382,19296,6,1362,1962,176000,1,1,0
888,476,1980,1564,8400,6,650,1980,171000,1,1,1
1306,624,2005,1306,5381,6,1306,2005,196000,1,1,1
1137,551,1987,1137,13811,6,1112,1987,176000,1,1,0
988,520,1954,988,21750,5,988,1954,113000,1,1,0
576,288,1971,1109,10500,5,372,1971,139000,1,1,0
1134,254,1960,1134,7000,5,1010,1960,135000,1,1,1
1548,624,1974,2614,10800,6,1522,1974,240000,1,1,1
865,398,1924,1310,7000,6,617,1924,112000,1,1,0
1080,484,1983,1080,9187,6,1084,1983,134000,1,1,0
1496,612,1983,2132,12327,8,1496,1983,316600,1,1,1
1222,487,1968,1920,10192,7,570,1968,170000,1,1,1
734,440,1990,1118,4400,6,648,1920,116000,1,1,0
1704,772,2008,1704,11478,8,1704,2007,306000,1,1,1
861,539,1961,861,12342,4,861,1940,82500,1,1,0
1041,539,1968,1743,11700,6,702,1968,175000,1,1,0
483,280,1987,987,1869,6,483,1970,106000,1,1,0
1220,632,2006,1220,7406,7,1199,2006,194000,1,1,1
1402,648,2006,1402,3922,7,1258,2006,194201,1,1,1
848,420,2004,848,4435,6,848,2004,155900,1,1,0
990,480,2000,990,8072,5,990,1994,138000,1,1,1
1357,312,1959,1357,11512,6,1019,1959,177000,1,1,0
1535,532,2004,1535,10171,7,1517,2004,214000,1,1,0
914,576,1998,914,8846,5,870,1996,148000,1,1,0
936,576,1986,1252,7438,5,504,1908,127000,1,1,0
1003,588,1984,1003,7937,6,1003,1984,142500,1,1,0
630,286,1970,630,1477,4,630,1970,80000,1,1,0
1138,264,1958,1138,10482,6,588,1958,145000,1,1,0
858,490,1962,1716,9247,6,858,1962,171000,1,1,1
765,440,1971,1365,1920,5,765,1971,122500,1,1,1
1339,294,1958,1339,7560,5,1029,1958,139000,1,1,0
1228,472,1988,1228,4671,8,1228,1988,189000,1,1,1
778,924,1966,778,6900,5,740,1940,120500,1,1,1
1040,0,0,1040,8430,5,1040,1978,124000,1,0,0
948,0,0,1928,7082,5,686,1916,160000,1,0,0
1338,968,1969,2634,11643,5,1248,1969,200000,1,1,0
1251,461,1964,1251,8800,6,1251,1964,160000,1,1,1
1476,736,2000,2153,11050,9,1440,2000,313000,1,1,1
1787,748,2001,1787,14781,8,1753,2001,275000,1,1,1
864,0,0,864,8248,3,864,1914,67000,1,0,0
1114,576,2004,1114,13695,5,1114,2004,159000,1,1,1
1652,499,2000,1652,5330,8,1494,2000,251000,1,1,1
1040,400,1987,1040,8544,3,0,1950,92900,0,1,0
784,0,0,784,6130,5,784,1924,109500,1,0,0
1842,894,1981,1842,50271,9,1842,1981,385000,1,1,1
1465,596,1965,2380,18450,6,1021,1965,129000,1,1,1
1411,544,1977,1411,11900,7,1386,1977,82500,1,1,0
1553,576,1987,2730,10380,7,1502,1986,301000,1,1,1
1656,826,2006,1656,11096,8,1656,2006,249700,1,1,1
630,0,0,630,1890,4,630,1972,81000,1,0,0
1472,588,1980,1472,14115,7,1372,1980,187500,1,1,1
1392,576,1968,1392,13560,6,1392,1968,110000,1,1,0
1001,255,1950,1635,5310,6,485,1910,117000,1,1,0
864,288,1972,864,9560,5,864,1972,128500,1,1,0
1506,440,2005,1506,3013,7,1362,2005,213490,1,1,1
1006,871,2003,2046,10625,7,998,2003,284000,1,1,1
1454,504,2000,1936,11194,8,1406,2000,230500,1,1,1
1888,578,1966,1888,16492,6,1517,1966,190000,1,1,0
1236,288,1961,1236,6993,5,912,1961,135000,1,1,0
1370,479,1976,1370,10400,7,1090,1976,152000,1,1,0
1040,400,1949,1040,8544,3,0,1949,87500,0,1,0
575,576,1971,1135,7200,7,560,1936,155000,1,1,0
864,0,0,864,10500,4,864,1971,115000,1,0,0
1099,352,1999,1099,9525,5,1099,1995,144000,1,1,0
979,467,1994,1850,29959,7,973,1994,248000,1,1,1
825,280,1939,1412,6000,6,780,1939,132500,1,1,0
896,0,0,1792,9000,5,896,1974,136000,1,0,1
833,326,1955,833,5400,5,833,1954,117000,1,1,0
1152,0,0,1152,6040,4,0,1955,82000,0,0,0
1478,498,1960,1478,17600,6,1478,1960,157500,1,1,1
720,240,1948,1284,3500,5,720,1947,110000,1,1,1
892,502,1999,1675,24682,6,841,1999,181000,1,1,1
936,474,2002,1776,14006,7,936,2002,192500,1,1,1
920,608,2001,1786,11250,7,920,2001,223500,1,1,1
1262,460,1976,1262,9600,6,1262,1976,181500,1,1,0
1088,461,1987,1088,3696,8,1074,1986,170000,1,1,1
1360,565,1984,1360,5814,8,1220,1984,187500,1,1,0
770,520,2004,1582,8320,7,770,2004,185900,1,1,1
976,256,1940,1308,9600,5,728,1940,160000,1,1,1
1431,666,1999,1431,9017,7,1431,1999,192000,1,1,1
1429,572,1960,1429,14585,6,1144,1960,181900,1,1,1
1095,1053,2006,1939,10728,8,1095,2006,266000,1,1,1
864,0,0,864,4060,5,864,1922,99900,1,0,1
1426,641,2006,2945,13682,10,1410,2006,438780,1,1,0
1314,552,2009,1314,8640,8,1300,2009,229456,1,1,1
1836,484,2004,1836,9100,7,1860,2004,216837,1,1,1
866,0,0,866,3880,5,686,1945,110500,1,0,1
1569,660,2007,1569,3635,7,1386,2007,175900,1,1,1
1690,841,2003,3279,53504,8,1650,2003,538000,1,1,1
4692,1418,2008,5642,63887,10,6110,2008,160000,1,1,1
983,480,1999,1739,2645,8,970,1999,172500,1,1,0
755,296,1940,1510,9084,4,755,1940,108000,1,1,0
1050,352,1954,1795,12150,5,1050,1954,131500,1,1,0
694,0,0,1294,10800,4,0,1900,106250,0,0,1
2084,1220,2007,2084,14803,10,2078,2007,385000,1,1,1
1766,478,2009,1766,9187,9,1766,2009,370878,1,1,1
2000,538,1972,2704,13860,8,1952,1972,345000,1,1,1
520,240,1920,520,6324,4,520,1927,68500,1,1,0
1020,180,1936,2057,11500,7,1017,1936,250000,1,1,0
1694,776,2008,1694,10475,8,1694,2008,245350,1,1,1
842,250,1925,1472,9600,5,702,1925,125000,1,1,0
1276,282,1926,2080,10918,7,1276,1926,234000,1,1,0
988,240,1940,1505,9144,5,883,1940,145000,1,1,0
1586,435,1979,1586,17043,6,1362,1979,181000,1,1,0
929,0,0,2229,5520,6,755,1912,104000,1,0,1
956,618,2004,2084,10142,7,956,2004,233000,1,1,1
1080,492,1988,1752,12134,8,559,1988,164000,1,1,1
960,240,1940,1740,13125,7,800,1940,219500,1,1,0
847,434,2004,1948,12393,7,847,2004,195000,1,1,1
897,570,1994,1336,11040,4,637,1920,108000,1,1,1
894,552,1975,894,9800,5,894,1972,149900,1,1,0
1980,770,2004,1980,16737,9,1980,2004,315000,1,1,1
753,213,1942,1494,7500,6,771,1942,177500,1,1,0
1048,288,1962,1558,10930,5,913,1945,140000,1,1,0
1294,662,2006,1294,6762,7,1286,2006,193879,1,1,1
2136,528,1951,2136,10680,5,2136,1951,137900,1,1,1
672,264,1972,1218,1680,6,672,1972,118000,1,1,1
1719,473,1993,1719,10846,8,1719,1993,324000,1,1,1
2402,672,2008,2402,15431,10,3094,2008,555000,1,1,1
1664,216,1916,2526,8520,6,714,1916,136000,1,1,1
708,0,0,708,5330,4,420,1940,82500,1,0,0
581,288,1935,1111,7200,5,530,1920,101000,1,1,0
